,1.KEPADATAN PENDUDUK,2.PERSENTASE RT PERTANIAN,TK,SMP,SMU,PASAR,PERTOKOAN,BIOSKOP,RUMAH SAKIT,HOTEL/BILYAR/DISKOTEK,% RT TELEPON,% RT LISRIK,KRITERIA KOTA/DESA,KRITERIA KOTA/DESA Encoded
29,1,3,0,0,0,0,1,0,1,0,0,1,PEDESAAN,0
59,1,3,1,1,0,0,1,0,1,0,0,1,PEDESAAN,0
53,1,3,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
10,2,7,1,1,1,1,1,0,0,0,0,1,PERKOTAAN,1
17,1,1,1,1,1,0,1,0,0,0,0,1,PEDESAAN,0
34,1,1,1,0,1,0,0,0,0,0,0,1,PEDESAAN,0
47,1,3,1,1,1,1,0,0,0,0,0,1,PEDESAAN,0
5,1,3,1,1,0,0,0,0,0,0,0,1,PEDESAAN,0
24,2,7,0,0,1,1,1,0,1,1,0,1,PERKOTAAN,1
33,1,1,1,1,0,1,0,0,0,0,0,1,PEDESAAN,0
55,1,5,1,1,0,0,0,0,0,0,0,1,PEDESAAN,0
15,1,1,1,0,0,1,0,0,0,0,0,1,PEDESAAN,0
38,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
3,1,1,0,0,0,0,0,0,0,0,0,1,PEDESAAN,0
60,1,1,1,1,0,0,1,0,0,0,0,1,PEDESAAN,0
50,1,1,1,1,0,0,0,0,0,0,0,1,PEDESAAN,0
25,2,3,1,1,1,1,1,0,1,1,0,1,PERKOTAAN,1
26,1,4,1,0,1,0,1,0,0,1,0,1,PERKOTAAN,1
35,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
44,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
13,1,1,1,1,0,0,0,0,0,1,0,1,PEDESAAN,0
41,1,3,1,1,0,0,0,0,0,1,0,1,PEDESAAN,0
43,1,1,1,1,1,0,0,0,0,0,0,1,PEDESAAN,0
45,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
2,1,2,1,1,1,0,1,0,0,0,0,1,PEDESAAN,0
32,1,2,1,1,0,1,0,0,0,0,0,1,PEDESAAN,0
62,1,2,1,1,0,1,0,0,0,0,0,1,PEDESAAN,0
52,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
6,1,1,1,0,0,1,0,0,0,0,0,1,PEDESAAN,0
23,1,4,1,1,0,0,1,0,1,1,0,1,PERKOTAAN,1
61,1,1,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
57,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
49,1,5,1,1,0,0,0,0,0,0,0,1,PEDESAAN,0
54,1,3,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
0,1,3,1,0,0,1,1,0,0,0,0,1,PEDESAAN,0
28,2,2,1,1,0,1,1,0,0,1,0,1,PERKOTAAN,1
39,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
14,1,1,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
8,2,1,1,1,1,1,1,0,1,0,0,1,PERKOTAAN,1
40,1,1,1,1,1,1,0,0,0,0,0,1,PEDESAAN,0
18,1,1,1,1,0,0,0,0,0,0,0,1,PEDESAAN,0
11,1,1,0,0,0,0,0,0,0,0,0,1,PEDESAAN,0
30,1,3,1,1,1,1,1,0,0,0,0,1,PERKOTAAN,1
51,1,1,1,1,1,0,0,0,0,0,0,1,PEDESAAN,0
