,1.KEPADATAN PENDUDUK,2.PERSENTASE RT PERTANIAN,TK,SMP,SMU,PASAR,PERTOKOAN,BIOSKOP,RUMAH SAKIT,HOTEL/BILYAR/DISKOTEK,% RT TELEPON,% RT LISRIK,KRITERIA KOTA/DESA,KRITERIA KOTA/DESA Encoded
56,1,2,1,1,0,1,0,0,0,0,0,1,PEDESAAN,0
2,1,2,1,1,1,0,1,0,0,0,0,1,PEDESAAN,0
22,1,3,1,1,1,1,1,0,0,0,0,1,PERKOTAAN,1
1,3,2,1,1,1,0,1,0,1,1,1,1,PERKOTAAN,1
15,1,1,1,0,0,1,0,0,0,0,0,1,PEDESAAN,0
20,1,2,1,1,0,0,1,0,0,0,0,1,PEDESAAN,0
23,1,4,1,1,0,0,1,0,1,1,0,1,PERKOTAAN,1
27,1,8,1,1,1,0,1,0,1,1,0,1,PERKOTAAN,1
4,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
32,1,2,1,1,0,1,0,0,0,0,0,1,PEDESAAN,0
16,1,3,1,0,0,1,1,0,0,1,0,1,PEDESAAN,0
21,2,5,1,0,0,1,1,0,0,1,0,1,PERKOTAAN,1
34,1,1,1,0,1,0,0,0,0,0,0,1,PEDESAAN,0
52,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
17,1,1,1,1,1,0,1,0,0,0,0,1,PEDESAAN,0
45,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
49,1,5,1,1,0,0,0,0,0,0,0,1,PEDESAAN,0
12,1,1,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
8,2,1,1,1,1,1,1,0,1,0,0,1,PERKOTAAN,1
62,1,2,1,1,0,1,0,0,0,0,0,1,PEDESAAN,0
13,1,1,1,1,0,0,0,0,0,1,0,1,PEDESAAN,0
40,1,1,1,1,1,1,0,0,0,0,0,1,PEDESAAN,0
61,1,1,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
9,1,4,1,1,0,1,1,0,1,1,0,1,PERKOTAAN,1
50,1,1,1,1,0,0,0,0,0,0,0,1,PEDESAAN,0
53,1,3,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
18,1,1,1,1,0,0,0,0,0,0,0,1,PEDESAAN,0
42,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
10,2,7,1,1,1,1,1,0,0,0,0,1,PERKOTAAN,1
58,1,1,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
6,1,1,1,0,0,1,0,0,0,0,0,1,PEDESAAN,0
59,1,3,1,1,0,0,1,0,1,0,0,1,PEDESAAN,0
37,1,2,1,1,1,1,0,0,0,0,0,1,PEDESAAN,0
19,1,1,0,0,0,0,0,0,0,0,0,1,PEDESAAN,0
36,1,5,1,1,0,0,0,0,0,0,0,1,PEDESAAN,0
29,1,3,0,0,0,0,1,0,1,0,0,1,PEDESAAN,0
51,1,1,1,1,1,0,0,0,0,0,0,1,PEDESAAN,0
14,1,1,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
0,1,3,1,0,0,1,1,0,0,0,0,1,PEDESAAN,0
30,1,3,1,1,1,1,1,0,0,0,0,1,PERKOTAAN,1
31,2,7,1,1,0,1,1,0,0,1,0,1,PERKOTAAN,1
35,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
24,2,7,0,0,1,1,1,0,1,1,0,1,PERKOTAAN,1
26,1,4,1,0,1,0,1,0,0,1,0,1,PERKOTAAN,1
