,1.KEPADATAN PENDUDUK,2.PERSENTASE RT PERTANIAN,TK,SMP,SMU,PASAR,PERTOKOAN,BIOSKOP,RUMAH SAKIT,HOTEL/BILYAR/DISKOTEK,% RT TELEPON,% RT LISRIK,KRITERIA KOTA/DESA,KRITERIA KOTA/DESA Encoded
19,1,1,0,0,0,0,0,0,0,0,0,1,PEDESAAN,0
43,1,1,1,1,1,0,0,0,0,0,0,1,PEDESAAN,0
0,1,3,1,0,0,1,1,0,0,0,0,1,PEDESAAN,0
31,2,7,1,1,0,1,1,0,0,1,0,1,PERKOTAAN,1
55,1,5,1,1,0,0,0,0,0,0,0,1,PEDESAAN,0
48,1,1,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
53,1,3,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
46,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
51,1,1,1,1,1,0,0,0,0,0,0,1,PEDESAAN,0
16,1,3,1,0,0,1,1,0,0,1,0,1,PEDESAAN,0
50,1,1,1,1,0,0,0,0,0,0,0,1,PEDESAAN,0
2,1,2,1,1,1,0,1,0,0,0,0,1,PEDESAAN,0
27,1,8,1,1,1,0,1,0,1,1,0,1,PERKOTAAN,1
21,2,5,1,0,0,1,1,0,0,1,0,1,PERKOTAAN,1
45,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
12,1,1,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
62,1,2,1,1,0,1,0,0,0,0,0,1,PEDESAAN,0
26,1,4,1,0,1,0,1,0,0,1,0,1,PERKOTAAN,1
58,1,1,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
20,1,2,1,1,0,0,1,0,0,0,0,1,PEDESAAN,0
33,1,1,1,1,0,1,0,0,0,0,0,1,PEDESAAN,0
3,1,1,0,0,0,0,0,0,0,0,0,1,PEDESAAN,0
32,1,2,1,1,0,1,0,0,0,0,0,1,PEDESAAN,0
37,1,2,1,1,1,1,0,0,0,0,0,1,PEDESAAN,0
7,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
52,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
41,1,3,1,1,0,0,0,0,0,1,0,1,PEDESAAN,0
59,1,3,1,1,0,0,1,0,1,0,0,1,PEDESAAN,0
61,1,1,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
22,1,3,1,1,1,1,1,0,0,0,0,1,PERKOTAAN,1
14,1,1,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
30,1,3,1,1,1,1,1,0,0,0,0,1,PERKOTAAN,1
23,1,4,1,1,0,0,1,0,1,1,0,1,PERKOTAAN,1
13,1,1,1,1,0,0,0,0,0,1,0,1,PEDESAAN,0
39,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
5,1,3,1,1,0,0,0,0,0,0,0,1,PEDESAAN,0
49,1,5,1,1,0,0,0,0,0,0,0,1,PEDESAAN,0
9,1,4,1,1,0,1,1,0,1,1,0,1,PERKOTAAN,1
6,1,1,1,0,0,1,0,0,0,0,0,1,PEDESAAN,0
35,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
11,1,1,0,0,0,0,0,0,0,0,0,1,PEDESAAN,0
38,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
24,2,7,0,0,1,1,1,0,1,1,0,1,PERKOTAAN,1
18,1,1,1,1,0,0,0,0,0,0,0,1,PEDESAAN,0
