,1.KEPADATAN PENDUDUK,2.PERSENTASE RT PERTANIAN,TK,SMP,SMU,PASAR,PERTOKOAN,BIOSKOP,RUMAH SAKIT,HOTEL/BILYAR/DISKOTEK,% RT TELEPON,% RT LISRIK,KRITERIA KOTA/DESA,KRITERIA KOTA/DESA Encoded
5,1,3,1,1,0,0,0,0,0,0,0,1,PEDESAAN,0
54,1,3,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
30,1,3,1,1,1,1,1,0,0,0,0,1,PERKOTAAN,1
7,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
28,2,2,1,1,0,1,1,0,0,1,0,1,PERKOTAAN,1
21,2,5,1,0,0,1,1,0,0,1,0,1,PERKOTAAN,1
37,1,2,1,1,1,1,0,0,0,0,0,1,PEDESAAN,0
43,1,1,1,1,1,0,0,0,0,0,0,1,PEDESAAN,0
29,1,3,0,0,0,0,1,0,1,0,0,1,PEDESAAN,0
20,1,2,1,1,0,0,1,0,0,0,0,1,PEDESAAN,0
9,1,4,1,1,0,1,1,0,1,1,0,1,PERKOTAAN,1
16,1,3,1,0,0,1,1,0,0,1,0,1,PEDESAAN,0
49,1,5,1,1,0,0,0,0,0,0,0,1,PEDESAAN,0
14,1,1,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
48,1,1,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
4,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
61,1,1,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
8,2,1,1,1,1,1,1,0,1,0,0,1,PERKOTAAN,1
62,1,2,1,1,0,1,0,0,0,0,0,1,PEDESAAN,0
1,3,2,1,1,1,0,1,0,1,1,1,1,PERKOTAAN,1
6,1,1,1,0,0,1,0,0,0,0,0,1,PEDESAAN,0
40,1,1,1,1,1,1,0,0,0,0,0,1,PEDESAAN,0
50,1,1,1,1,0,0,0,0,0,0,0,1,PEDESAAN,0
0,1,3,1,0,0,1,1,0,0,0,0,1,PEDESAAN,0
59,1,3,1,1,0,0,1,0,1,0,0,1,PEDESAAN,0
3,1,1,0,0,0,0,0,0,0,0,0,1,PEDESAAN,0
32,1,2,1,1,0,1,0,0,0,0,0,1,PEDESAAN,0
36,1,5,1,1,0,0,0,0,0,0,0,1,PEDESAAN,0
46,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
26,1,4,1,0,1,0,1,0,0,1,0,1,PERKOTAAN,1
11,1,1,0,0,0,0,0,0,0,0,0,1,PEDESAAN,0
41,1,3,1,1,0,0,0,0,0,1,0,1,PEDESAAN,0
18,1,1,1,1,0,0,0,0,0,0,0,1,PEDESAAN,0
33,1,1,1,1,0,1,0,0,0,0,0,1,PEDESAAN,0
15,1,1,1,0,0,1,0,0,0,0,0,1,PEDESAAN,0
23,1,4,1,1,0,0,1,0,1,1,0,1,PERKOTAAN,1
17,1,1,1,1,1,0,1,0,0,0,0,1,PEDESAAN,0
2,1,2,1,1,1,0,1,0,0,0,0,1,PEDESAAN,0
45,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
35,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
39,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
60,1,1,1,1,0,0,1,0,0,0,0,1,PEDESAAN,0
44,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
27,1,8,1,1,1,0,1,0,1,1,0,1,PERKOTAAN,1
