,1.KEPADATAN PENDUDUK,2.PERSENTASE RT PERTANIAN,TK,SMP,SMU,PASAR,PERTOKOAN,BIOSKOP,RUMAH SAKIT,HOTEL/BILYAR/DISKOTEK,% RT TELEPON,% RT LISRIK,KRITERIA KOTA/DESA,KRITERIA KOTA/DESA Encoded
47,1,3,1,1,1,1,0,0,0,0,0,1,PEDESAAN,0
55,1,5,1,1,0,0,0,0,0,0,0,1,PEDESAAN,0
45,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
8,2,1,1,1,1,1,1,0,1,0,0,1,PERKOTAAN,1
42,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
22,1,3,1,1,1,1,1,0,0,0,0,1,PERKOTAAN,1
19,1,1,0,0,0,0,0,0,0,0,0,1,PEDESAAN,0
53,1,3,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
23,1,4,1,1,0,0,1,0,1,1,0,1,PERKOTAAN,1
17,1,1,1,1,1,0,1,0,0,0,0,1,PEDESAAN,0
35,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
0,1,3,1,0,0,1,1,0,0,0,0,1,PEDESAAN,0
56,1,2,1,1,0,1,0,0,0,0,0,1,PEDESAAN,0
6,1,1,1,0,0,1,0,0,0,0,0,1,PEDESAAN,0
12,1,1,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
30,1,3,1,1,1,1,1,0,0,0,0,1,PERKOTAAN,1
28,2,2,1,1,0,1,1,0,0,1,0,1,PERKOTAAN,1
58,1,1,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
10,2,7,1,1,1,1,1,0,0,0,0,1,PERKOTAAN,1
2,1,2,1,1,1,0,1,0,0,0,0,1,PEDESAAN,0
1,3,2,1,1,1,0,1,0,1,1,1,1,PERKOTAAN,1
38,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
40,1,1,1,1,1,1,0,0,0,0,0,1,PEDESAAN,0
13,1,1,1,1,0,0,0,0,0,1,0,1,PEDESAAN,0
62,1,2,1,1,0,1,0,0,0,0,0,1,PEDESAAN,0
51,1,1,1,1,1,0,0,0,0,0,0,1,PEDESAAN,0
44,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
61,1,1,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
54,1,3,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
43,1,1,1,1,1,0,0,0,0,0,0,1,PEDESAAN,0
26,1,4,1,0,1,0,1,0,0,1,0,1,PERKOTAAN,1
24,2,7,0,0,1,1,1,0,1,1,0,1,PERKOTAAN,1
25,2,3,1,1,1,1,1,0,1,1,0,1,PERKOTAAN,1
33,1,1,1,1,0,1,0,0,0,0,0,1,PEDESAAN,0
21,2,5,1,0,0,1,1,0,0,1,0,1,PERKOTAAN,1
27,1,8,1,1,1,0,1,0,1,1,0,1,PERKOTAAN,1
4,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
14,1,1,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
36,1,5,1,1,0,0,0,0,0,0,0,1,PEDESAAN,0
29,1,3,0,0,0,0,1,0,1,0,0,1,PEDESAAN,0
34,1,1,1,0,1,0,0,0,0,0,0,1,PEDESAAN,0
57,1,2,1,0,0,0,0,0,0,0,0,1,PEDESAAN,0
49,1,5,1,1,0,0,0,0,0,0,0,1,PEDESAAN,0
11,1,1,0,0,0,0,0,0,0,0,0,1,PEDESAAN,0
